Year,Month,Day,Hour,Minute,GHI
2018,1,22,9,30,0
2018,1,22,10,30,0
2018,1,22,11,30,0
2018,1,22,12,30,0
2018,1,22,13,30,0
2018,1,22,14,30,0
2018,1,22,15,30,21
2018,1,22,16,30,169
2018,1,22,17,30,196
2018,1,22,18,30,371
2018,1,22,19,30,161
2018,1,22,20,30,223
2018,1,22,21,30,336
2018,1,22,22,30,288
2018,1,22,23,30,267
2018,1,23,0,30,100
2018,1,23,1,30,0
2018,1,23,2,30,0
2018,1,23,3,30,0
2018,1,23,4,30,0
2018,1,23,5,30,0
2018,1,23,6,30,0
2018,1,23,7,30,0
2018,1,23,8,30,0
2018,1,23,9,30,0
2018,1,23,10,30,0
2018,1,23,11,30,0
2018,1,23,12,30,0
2018,1,23,13,30,0
2018,1,23,14,30,0
2018,1,23,15,30,22
2018,1,23,16,30,150
2018,1,23,17,30,341
2018,1,23,18,30,477
2018,1,23,19,30,558
2018,1,23,20,30,577
2018,1,23,21,30,533
2018,1,23,22,30,431
2018,1,23,23,30,282
2018,1,24,0,30,109
2018,1,24,1,30,0
2018,1,24,2,30,0
2018,1,24,3,30,0
2018,1,24,4,30,0
2018,1,24,5,30,0
2018,1,24,6,30,0
2018,1,24,7,30,0
2018,1,24,8,30,0
2018,1,24,9,30,0
2018,1,24,10,30,0
2018,1,24,11,30,0
2018,1,24,12,30,0
2018,1,24,13,30,0
2018,1,24,14,30,0
2018,1,24,15,30,13
2018,1,24,16,30,86
2018,1,24,17,30,157
2018,1,24,18,30,114
2018,1,24,19,30,324
2018,1,24,20,30,239
2018,1,24,21,30,201
2018,1,24,22,30,153
2018,1,24,23,30,154
2018,1,25,0,30,50
2018,1,25,1,30,0
2018,1,25,2,30,0
2018,1,25,3,30,0
2018,1,25,4,30,0
2018,1,25,5,30,0
2018,1,25,6,30,0
2018,1,25,7,30,0
2018,1,25,8,30,0
2018,1,25,9,30,0
2018,1,25,10,30,0
2018,1,25,11,30,0
2018,1,25,12,30,0
2018,1,25,13,30,0
2018,1,25,14,30,0
2018,1,25,15,30,21
2018,1,25,16,30,155
2018,1,25,17,30,309
2018,1,25,18,30,478
2018,1,25,19,30,444
2018,1,25,20,30,370
2018,1,25,21,30,374
2018,1,25,22,30,249
2018,1,25,23,30,250
2018,1,26,0,30,109
2018,1,26,1,30,0
2018,1,26,2,30,0
2018,1,26,3,30,0
2018,1,26,4,30,0
2018,1,26,5,30,0
2018,1,26,6,30,0
2018,1,26,7,30,0
2018,1,26,8,30,0
2018,1,26,9,30,0
2018,1,26,10,30,0
2018,1,26,11,30,0
2018,1,26,12,30,0
2018,1,26,13,30,0
2018,1,26,14,30,0
2018,1,26,15,30,27
2018,1,26,16,30,188
2018,1,26,17,30,359
2018,1,26,18,30,493
2018,1,26,19,30,575
2018,1,26,20,30,538
2018,1,26,21,30,366
2018,1,26,22,30,304
2018,1,26,23,30,186
2018,1,27,0,30,28
2018,1,27,1,30,0
2018,1,27,2,30,0
2018,1,27,3,30,0
